Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,918,534,-1.000,-1.000,9145227
1,2,942,500,1.373,41.617,8355711
1,3,944,502,0.093,2.828,8421504
1,4,938,513,0.413,12.530,8421504
1,5,949,505,0.449,13.601,8289918
1,6,968,446,2.045,61.984,10132122
1,7,936,502,2.128,64.498,8553090
1,8,936,502,0.000,0.000,8553090
1,9,909,509,0.920,27.893,8553090
1,10,937,497,1.005,30.463,9079434
1,11,912,522,1.167,35.355,8618883
1,12,934,500,1.027,31.113,8816262
1,13,934,500,0.000,0.000,8816262
1,14,925,522,0.784,23.770,8947848
1,15,953,481,1.638,49.649,9408399
1,16,936,505,0.971,29.411,9013641
1,17,953,478,1.053,31.906,9408399
1,18,953,478,0.000,0.000,9408399
1,19,937,496,0.795,24.083,9342606
1,20,905,526,1.447,43.863,8553090
1,21,941,482,1.876,56.851,9408399
1,22,954,469,0.607,18.385,9671571
1,23,953,468,0.047,1.414,9671571
1,24,964,469,0.364,11.045,9474192
1,25,922,525,2.310,70.000,8618883
1,26,948,493,1.361,41.231,9079434
1,27,912,502,1.225,37.108,8947848
1,28,912,502,0.000,0.000,8947848
1,29,949,456,1.948,59.034,9934743
1,30,909,489,1.711,51.856,9474192
1,31,892,513,0.971,29.411,8487297
1,32,936,489,1.654,50.120,8355711
1,33,936,489,0.000,0.000,8355711
1,34,957,457,1.263,38.275,9803157
1,35,932,492,1.419,43.012,8816262
1,36,912,512,0.933,28.284,9276813
1,37,912,512,0.000,0.000,9276813
1,38,924,505,0.458,13.892,8289918
1,39,946,477,1.175,35.609,8882055
1,40,918,501,1.217,36.878,8684676
1,41,888,529,1.354,41.037,7763574
1,42,889,529,0.033,1.000,7763574
1,43,922,509,1.273,38.588,8026746
1,44,934,488,0.798,24.187,8618883
1,45,906,516,1.307,39.598,8947848
1,46,917,505,0.513,15.556,8618883
1,47,924,504,0.233,7.071,8421504
1,48,913,510,0.413,12.530,8750469
1,49,934,490,0.957,29.000,8553090
1,50,913,505,0.852,25.807,8487297
1,51,933,481,1.031,31.241,8618883
1,52,933,481,0.000,0.000,8618883
1,53,912,508,1.129,34.205,8487297
1,54,934,484,1.074,32.558,8750469
1,55,908,512,1.261,38.210,8421504
1,56,921,490,0.843,25.554,8816262
1,57,921,492,0.066,2.000,8947848
1,58,918,512,0.667,20.224,8553090
1,59,896,532,0.981,29.732,8092539
1,60,913,504,1.081,32.757,8553090
1,61,896,532,1.081,32.757,8158332
1,62,896,532,0.000,0.000,8158332
1,63,920,502,1.268,38.419,8816262
1,64,896,532,1.268,38.419,8026746
1,65,918,505,1.149,34.828,8289918
1,66,909,541,1.225,37.108,8289918
1,67,909,541,0.000,0.000,8289918
1,68,933,512,1.242,37.643,8487297
1,69,912,522,0.768,23.259,8158332
1,70,933,494,1.155,35.000,8553090
1,71,933,494,0.000,0.000,8553090
1,72,912,513,0.935,28.320,8224125
1,73,932,484,1.163,35.228,8618883
1,74,913,517,1.257,38.079,8289918
1,75,937,490,1.192,36.125,8553090
1,76,937,490,0.000,0.000,8553090
1,77,905,526,1.589,48.166,8092539
1,78,932,488,1.538,46.615,8750469
1,79,917,506,0.773,23.431,8684676
1,80,878,538,1.665,50.448,7697781
1,81,876,538,0.066,2.000,7631988
1,82,904,516,1.175,35.609,8750469
1,83,956,472,2.248,68.118,9605778
1,84,933,505,1.327,40.224,8553090
1,85,957,473,1.320,40.000,9408399
1,86,957,473,0.000,0.000,9408399
1,87,949,490,0.620,18.788,9145227
1,88,914,526,1.657,50.210,8289918
1,89,937,484,1.580,47.885,8553090
1,90,921,504,0.845,25.612,8289918
1,91,921,504,0.000,0.000,8289918
1,92,944,473,1.274,38.601,9079434
1,93,934,505,1.106,33.526,8289918
1,94,952,469,1.328,40.249,9408399
1,95,952,469,0.000,0.000,9408399
1,96,934,505,1.328,40.249,8355711
1,97,900,545,1.732,52.498,7631988
1,98,936,490,2.169,65.734,8750469
1,99,901,529,1.729,52.402,8026746
1,100,901,529,0.000,0.000,8026746
1,101,936,482,1.934,58.600,9145227
1,102,877,530,2.510,76.059,8158332
1,103,938,473,2.755,83.487,9737364
1,104,888,514,2.134,64.661,8158332
1,105,888,514,0.000,0.000,8224125
1,106,934,474,2.012,60.959,9079434
1,107,906,509,1.479,44.822,8421504
1,108,949,472,1.872,56.727,9408399
1,109,909,510,1.821,55.172,8355711
1,110,909,510,0.000,0.000,8289918
1,111,941,473,1.614,48.918,9474192
1,112,908,513,1.711,51.856,8684676
1,113,949,472,1.913,57.983,9408399
1,114,913,514,1.825,55.317,8487297
1,115,913,514,0.000,0.000,8487297
1,116,954,470,1.985,60.141,9474192
1,117,933,509,1.462,44.294,8487297
1,118,918,537,1.048,31.765,8158332
1,119,948,485,1.981,60.033,8816262
1,120,948,485,0.000,0.000,8816262
1,121,894,521,2.142,64.900,8158332
1,122,940,473,2.194,66.483,9408399
1,123,905,512,1.729,52.402,8421504
1,124,936,482,1.424,43.139,8684676
1,125,936,482,0.000,0.000,8684676
1,126,924,516,1.190,36.056,8092539
1,127,904,534,0.888,26.907,8553090
1,128,924,508,1.082,32.802,8421504
1,129,944,482,1.082,32.802,9079434
1,130,944,482,0.000,0.000,9079434
1,131,932,500,0.714,21.633,8553090
1,132,906,521,1.103,33.422,7895160
1,133,924,497,0.990,30.000,8882055
1,134,924,497,0.000,0.000,8882055
1,135,906,517,0.888,26.907,8289918
1,136,928,489,1.175,35.609,8487297
1,137,906,524,1.364,41.340,8092539
1,138,913,520,0.266,8.062,8224125
1,139,913,520,0.000,0.000,8224125
