Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1050,85,-1.000,-1.000,7631988
1,2,1048,85,0.061,1.855,7631988
1,3,1048,85,0.000,0.000,7368816
1,4,1049,84,0.043,1.311,7631988
1,5,1052,85,0.097,2.932,7697781
1,6,1046,93,0.306,9.273,7763574
1,7,1042,153,1.840,55.760,7829367
1,8,1048,216,1.937,58.683,8092539
1,9,1048,216,0.000,0.000,8092539
1,10,1053,242,0.810,24.551,7763574
1,11,1053,260,0.551,16.691,7763574
1,12,1052,254,0.186,5.640,7763574
1,13,1058,266,0.411,12.441,7697781
1,14,1058,266,0.000,0.000,7697781
1,15,1054,270,0.173,5.245,7763574
1,16,1058,270,0.122,3.709,7631988
1,17,1058,269,0.031,0.927,7829367
1,18,1058,269,0.000,0.000,7829367
1,19,1054,273,0.173,5.245,7829367
1,20,1056,290,0.524,15.872,7829367
1,21,1070,328,1.239,37.552,7631988
1,22,1065,330,0.165,4.994,8026746
1,23,1065,330,0.000,0.000,8026746
1,24,1065,330,0.000,0.000,7763574
1,25,1065,345,0.459,13.909,7763574
1,26,1065,354,0.275,8.345,7697781
1,27,1065,354,0.000,0.000,7566195
1,28,1065,350,0.122,3.709,7763574
1,29,1062,350,0.092,2.782,7566195
1,30,1065,348,0.110,3.343,8092539
1,31,1065,348,0.000,0.000,8026746
1,32,1066,346,0.068,2.073,7763574
1,33,1068,352,0.194,5.865,8026746
1,34,1066,352,0.061,1.855,7631988
1,35,1066,349,0.092,2.782,7763574
1,36,1069,345,0.153,4.636,7697781
1,37,1069,345,0.000,0.000,7960953
1,38,1069,345,0.000,0.000,7960953
1,39,1069,345,0.000,0.000,7829367
1,40,1069,345,0.000,0.000,7763574
1,41,1069,345,0.000,0.000,7960953
1,42,1069,345,0.000,0.000,7763574
1,43,1069,345,0.000,0.000,7763574
1,44,1068,349,0.126,3.823,8224125
1,45,977,368,2.845,86.201,7960953
1,46,950,480,3.525,106.830,7829367
1,47,850,502,3.133,94.945,7368816
1,48,850,505,0.092,2.782,7500402
1,49,841,513,0.368,11.166,7105644
1,50,842,513,0.031,0.927,7631988
1,51,837,516,0.178,5.407,7763574
1,52,837,516,0.000,0.000,7763574
1,53,832,514,0.165,4.994,7697781
1,54,838,517,0.205,6.220,7631988
1,55,834,521,0.173,5.245,7566195
1,56,841,512,0.349,10.573,7566195
1,57,842,510,0.068,2.073,7237230
1,58,862,513,0.619,18.753,7566195
1,59,890,500,0.945,28.626,7500402
1,60,897,497,0.233,7.062,7368816
1,61,885,484,0.541,16.405,7303023
1,62,884,484,0.031,0.927,7303023
1,63,762,753,9.038,273.891,8026746
1,64,762,753,0.000,0.000,7829367
1,65,780,737,0.737,22.332,8026746
1,66,788,728,0.368,11.166,8026746
1,67,788,728,0.000,0.000,7960953
1,68,701,854,4.685,141.982,8421504
1,69,705,826,0.865,26.227,8092539
1,70,744,790,1.624,49.215,8421504
1,71,761,758,1.109,33.600,8092539
1,72,761,754,0.122,3.709,8092539
1,73,765,733,0.654,19.823,8026746
1,74,824,600,4.452,134.917,8289918
