Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1006,394,-1,-1,9211020
1,2,1006,394,0,0,9145227
1,3,1006,394,0,0,8947848
1,4,1006,394,0,0,9211020
1,5,1006,394,0,0,9145227
1,6,1006,394,0,0,9145227
1,7,1006,394,0,0,8882055
1,8,1006,394,0,0,8882055
1,9,1006,394,0,0,9145227
1,10,1006,394,0,0,8947848
1,11,1006,394,0,0,8947848
1,12,1006,394,0,0,8947848
1,13,1006,394,0,0,9013641
1,14,1006,394,0,0,9211020
1,15,1006,394,0,0,8882055
1,16,1006,394,0,0,8553090
1,17,1006,394,0,0,8553090
1,18,1006,394,0,0,9342606
1,19,1006,394,0,0,9539985
1,20,1006,394,0,0,8882055
1,21,1006,394,0,0,8750469
1,22,1006,394,0,0,8750469
1,23,1006,394,0,0,9013641
1,24,1006,394,0,0,7960953
1,25,1006,394,0,0,9474192
1,26,1006,394,0,0,9013641
1,27,1006,394,0,0,9079434
1,28,1006,394,0,0,9013641
1,29,1006,394,0,0,8553090
1,30,1006,394,0,0,9013641
1,31,1006,394,0,0,9211020
1,32,1006,394,0,0,9211020
1,33,1006,394,0,0,8947848
1,34,1006,394,0,0,8882055
1,35,1006,394,0,0,7960953
1,36,1006,394,0,0,7697781
1,37,1006,394,0,0,7697781
1,38,1006,394,0,0,8618883
1,39,1006,394,0,0,8553090
1,40,1006,394,0,0,8553090
1,41,1006,394,0,0,8618883
1,42,1006,394,0,0,8618883
1,43,1006,394,0,0,7237230
1,44,1006,394,0,0,8421504
1,45,1006,394,0,0,8487297
1,46,1006,394,0,0,8487297
1,47,1006,394,0,0,8487297
1,48,1006,394,0,0,9605778
1,49,1006,394,0,0,8947848
1,50,1006,394,0,0,8487297
1,51,1006,394,0,0,8487297
1,52,1006,394,0,0,8750469
1,53,1006,394,0,0,8750469
1,54,1006,394,0,0,8684676
1,55,1006,394,0,0,8882055
1,56,1006,394,0,0,8882055
1,57,1006,394,0,0,8421504
1,58,1006,394,0,0,8750469
1,59,1006,394,0,0,8026746
1,60,1006,394,0,0,9408399
1,61,1006,394,0,0,9408399
1,62,1006,394,0,0,8882055
1,63,1006,394,0,0,8421504
1,64,1006,394,0,0,8882055
1,65,1006,394,0,0,9079434
1,66,1006,394,0,0,9079434
1,67,1006,394,0,0,8750469
1,68,1006,394,0,0,7829367
1,69,1006,394,0,0,9605778
1,70,1006,394,0,0,8750469
1,71,1006,394,0,0,8882055
1,72,1006,394,0,0,8618883
1,73,1006,394,0,0,9671571
1,74,1006,394,0,0,9145227
1,75,1006,394,0,0,9145227
1,76,1006,394,0,0,9145227
1,77,1006,394,0,0,8224125
1,78,1006,394,0,0,8421504
1,79,1006,394,0,0,9079434
1,80,1006,394,0,0,9079434
1,81,1006,394,0,0,9013641
1,82,1006,394,0,0,8750469
1,83,1006,394,0,0,7763574
1,84,1006,394,0,0,9605778
1,85,1006,394,0,0,9605778
1,86,1006,394,0,0,8750469
1,87,1006,394,0,0,8684676
1,88,1006,394,0,0,8553090
1,89,1006,394,0,0,7960953
1,90,1006,394,0,0,7960953
1,91,1006,394,0,0,8158332
1,92,1006,394,0,0,8947848
1,93,1006,394,0,0,9408399
1,94,1006,394,0,0,9145227
1,95,1006,394,0,0,9145227
1,96,1006,394,0,0,8553090
1,97,1006,394,0,0,8750469
1,98,1006,394,0,0,8947848
1,99,1006,394,0,0,8618883
1,100,1006,394,0,0,8618883
1,101,1006,394,0,0,8618883
1,102,1006,394,0,0,7763574
1,103,1006,394,0,0,9408399
1,104,1006,394,0,0,9408399
1,105,1006,394,0,0,9539985
1,106,1006,394,0,0,8618883
1,107,1006,394,0,0,8618883
1,108,1006,394,0,0,9079434
1,109,1006,394,0,0,9079434
1,110,1006,394,0,0,8882055
1,111,1006,394,0,0,9408399
1,112,1006,394,0,0,8750469
1,113,1006,394,0,0,9474192
1,114,1006,394,0,0,9474192
1,115,1006,394,0,0,9408399
1,116,1006,394,0,0,9211020
1,117,1006,394,0,0,8553090
1,118,1006,394,0,0,8618883
1,119,1006,394,0,0,8618883
1,120,1006,394,0,0,8618883
1,121,1006,394,0,0,9013641
1,122,1006,394,0,0,8947848
1,123,1006,394,0,0,8487297
1,124,1006,394,0,0,8487297
1,125,1006,394,0,0,8158332
1,126,1006,394,0,0,9539985
1,127,1006,394,0,0,9474192
1,128,1006,394,0,0,8947848
1,129,1006,394,0,0,8947848
1,130,1006,394,0,0,9013641
1,131,1006,394,0,0,9013641
1,132,1006,394,0,0,8553090
1,133,1006,394,0,0,9408399
1,134,1006,394,0,0,9408399
1,135,1006,394,0,0,8553090
1,136,1006,394,0,0,8553090
1,137,1006,394,0,0,9079434
1,138,1006,394,0,0,9145227
1,139,1006,394,0,0,8947848
1,140,1006,394,0,0,9605778
1,141,1006,394,0,0,9408399
1,142,1006,394,0,0,7763574
1,143,1006,394,0,0,7763574
1,144,1006,394,0,0,8289918
1,145,1006,394,0,0,8947848
1,146,1006,394,0,0,9342606
1,147,1006,394,0,0,8224125
1,148,1006,394,0,0,8224125
1,149,1006,394,0,0,8289918
1,150,1006,394,0,0,9539985
1,151,1006,394,0,0,9408399
1,152,1006,394,0,0,9408399
1,153,1006,394,0,0,9474192
1,154,1006,394,0,0,9342606
1,155,1006,394,0,0,9408399
1,156,1006,394,0,0,9539985
1,157,1006,394,0,0,9408399
1,158,1006,394,0,0,9408399
1,159,1006,396,0.100,2.381,9013641
1,160,1006,396,0,0,8750469
1,161,1006,396,0,0,8947848
1,162,1006,396,0,0,8947848
1,163,1006,396,0,0,8947848
1,164,1006,396,0,0,9079434
1,165,1006,396,0,0,9474192
1,166,1006,396,0,0,8947848
1,167,1006,396,0,0,9211020
1,168,1006,396,0,0,9211020
1,169,1006,396,0,0,9342606
1,170,1006,396,0,0,9079434
1,171,1006,396,0,0,8947848
2,1,1040,346,-1,-1,9211020
2,2,1038,340,0.316,7.529,8882055
2,3,1038,342,0.100,2.381,9013641
2,4,1040,342,0.100,2.381,9211020
2,5,1042,342,0.100,2.381,9079434
2,6,1038,344,0.224,5.324,8882055
2,7,1038,344,0,0,8947848
2,8,1042,344,0.200,4.762,9013641
2,9,1036,340,0.361,8.585,8947848
2,10,1036,340,0,0,8750469
2,11,1040,340,0.200,4.762,8553090
2,12,1040,340,0,0,8553090
2,13,1036,340,0.200,4.762,9013641
2,14,1042,340,0.300,7.143,8750469
2,15,1036,340,0.300,7.143,8947848
2,16,1036,344,0.200,4.762,8947848
2,17,1036,342,0.100,2.381,8882055
2,18,1036,342,0,0,8882055
2,19,1042,342,0.300,7.143,8750469
2,20,1042,338,0.200,4.762,8882055
2,21,1034,344,0.500,11.905,8947848
2,22,1034,344,0,0,8947848
2,23,1038,344,0.200,4.762,8618883
2,24,1028,352,0.640,15.246,9605778
2,25,1024,378,1.315,31.317,8947848
2,26,1034,364,0.860,20.482,8618883
2,27,1030,362,0.224,5.324,8684676
2,28,1036,358,0.361,8.585,8750469
2,29,1038,346,0.608,14.483,8882055
2,30,1040,342,0.224,5.324,9079434
2,31,1038,340,0.141,3.367,8947848
2,32,1036,340,0.100,2.381,9079434
2,33,1038,340,0.100,2.381,8553090
2,34,1034,346,0.361,8.585,8882055
2,35,1034,346,0,0,8750469
2,36,1038,348,0.224,5.324,8882055
2,37,1038,348,0,0,8882055
2,38,1040,342,0.316,7.529,8882055
2,39,1036,342,0.200,4.762,8947848
2,40,1036,346,0.200,4.762,8882055
2,41,1034,348,0.141,3.367,9211020
2,42,1034,348,0,0,9211020
2,43,1032,352,0.224,5.324,9013641
2,44,1032,344,0.400,9.524,8947848
2,45,1032,344,0,0,8487297
2,46,1032,340,0.200,4.762,8684676
2,47,1034,344,0.224,5.324,8750469
2,48,1024,362,1.030,24.513,9079434
2,49,1028,356,0.361,8.585,8750469
